experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-5.328,3.196,0.213,-0.462
Historical,Brest,1901,-5.591,5.071,-1.088,-1.098
Historical,Brest,1902,-5.362,3.358,0.541,-0.373
Historical,Brest,1903,-5.598,2.196,-1.058,-1.092
Historical,Brest,1904,-3.093,3.677,0.140,0.354
Historical,Brest,1905,-4.966,2.665,-0.500,-1.837
Historical,Brest,1906,-5.474,3.950,-0.273,-3.237
Historical,Brest,1907,-4.564,4.690,-1.151,-1.139
Historical,Brest,1908,-4.304,4.387,0.589,0.071
Historical,Brest,1909,-3.213,2.829,-1.413,-1.170
Historical,Brest,1910,-2.562,3.715,0.059,0.244
Historical,Brest,1911,-7.180,4.778,-0.937,-2.229
Historical,Brest,1912,-4.603,3.335,-0.089,0.101
Historical,Brest,1913,-7.084,3.859,-0.266,-1.567
Historical,Brest,1914,-3.879,3.885,0.208,-0.207
Historical,Brest,1915,-3.381,2.958,0.221,-0.585
Historical,Brest,1916,-3.437,3.757,-0.525,0.173
Historical,Brest,1917,-4.122,3.445,-0.035,-0.143
Historical,Brest,1918,-5.377,2.673,-0.749,-1.907
Historical,Brest,1919,-4.117,4.351,-0.842,-0.471
Historical,Brest,1920,-4.222,4.112,0.308,-0.048
Historical,Brest,1921,-4.288,2.347,-0.553,-0.746
Historical,Brest,1922,-2.794,4.095,-0.241,-0.215
Historical,Brest,1923,-5.172,4.566,-0.832,-1.333
Historical,Brest,1924,-2.619,3.883,0.211,-0.074
Historical,Brest,1925,-1.908,3.493,1.209,1.545
Historical,Brest,1926,-3.564,2.166,0.521,0.057
Historical,Brest,1927,-4.371,4.791,-0.545,-0.942
Historical,Brest,1928,-4.793,4.117,0.256,-1.498
Historical,Brest,1929,-5.970,4.122,0.760,-0.595
Historical,Brest,1930,-5.203,3.570,-1.388,-0.154
Historical,Brest,1931,-6.875,3.507,-0.967,-1.210
Historical,Brest,1932,-4.660,3.645,0.756,-0.356
Historical,Brest,1933,-7.990,4.125,-1.897,-2.171
Historical,Brest,1934,-3.284,2.953,-1.013,-1.855
Historical,Brest,1935,-3.559,3.516,-1.291,-1.144
Historical,Brest,1936,-3.944,3.645,0.584,-0.232
Historical,Brest,1937,-4.507,3.582,-0.529,0.699
Historical,Brest,1938,-3.642,4.685,-0.028,0.051
Historical,Brest,1939,-4.311,2.745,-1.121,-0.517
Historical,Brest,1940,-5.268,4.629,-0.990,-0.964
Historical,Brest,1941,-6.160,4.144,-0.845,-1.060
Historical,Brest,1942,-4.361,4.624,0.273,0.435
Historical,Brest,1943,-2.501,2.726,-0.725,-0.376
Historical,Brest,1944,-5.230,2.514,-0.712,-0.324
Historical,Brest,1945,-4.295,2.546,-0.529,-0.576
Historical,Brest,1946,-4.631,3.550,0.070,-0.211
Historical,Brest,1947,-3.455,4.408,-1.400,-0.877
Historical,Brest,1948,-6.366,2.890,-0.654,-2.024
Historical,Brest,1949,-5.423,4.930,-0.163,1.249
Historical,Brest,1950,-3.698,2.976,0.089,0.518
Historical,Brest,1951,-3.632,1.677,-0.958,-2.352
Historical,Brest,1952,-3.987,3.004,-0.425,-1.296
Historical,Brest,1953,-4.863,3.605,-0.339,-1.276
Historical,Brest,1954,-6.309,3.122,0.265,-1.960
Historical,Brest,1955,-4.911,1.709,-0.972,-0.279
Historical,Brest,1956,-4.480,2.653,-0.116,-1.547
Historical,Brest,1957,-6.223,2.159,-1.401,-1.009
Historical,Brest,1958,-4.281,3.598,-0.044,-0.422
Historical,Brest,1959,-4.232,3.071,0.349,-0.408
Historical,Brest,1960,-4.320,4.582,-0.141,-1.726
Historical,Brest,1961,-3.286,3.440,0.603,1.260
Historical,Brest,1962,-4.033,3.475,-0.069,-0.037
Historical,Brest,1963,-3.091,4.339,0.741,0.870
Historical,Brest,1964,-2.835,3.721,1.214,1.176
Historical,Brest,1965,-7.375,4.409,-0.246,-0.934
Historical,Brest,1966,-5.196,3.949,0.740,0.962
Historical,Brest,1967,-5.267,2.845,-0.474,-1.514
Historical,Brest,1968,-7.115,4.949,-0.125,-0.925
Historical,Brest,1969,-5.593,3.710,-1.193,-1.833
Historical,Brest,1970,-5.614,4.091,0.970,0.312
Historical,Brest,1971,-4.976,3.680,0.823,-0.890
Historical,Brest,1972,-5.289,3.996,-0.366,-0.918
Historical,Brest,1973,-1.064,3.545,0.943,0.906
Historical,Brest,1974,-4.557,3.922,-0.426,-0.842
Historical,Brest,1975,-6.024,4.134,-0.670,0.038
Historical,Brest,1976,-2.972,3.309,0.396,0.399
Historical,Brest,1977,-4.326,2.898,-0.501,-0.226
Historical,Brest,1978,-5.096,4.012,0.655,1.106
Historical,Brest,1979,-3.775,3.893,0.049,0.162
Historical,Brest,1980,-3.826,2.512,0.057,-0.389
Historical,Brest,1981,-4.452,3.693,0.261,1.235
Historical,Brest,1982,-5.995,2.349,0.179,0.414
Historical,Brest,1983,-2.372,3.213,-0.088,2.298
Historical,Brest,1984,-4.811,3.968,-0.208,-1.237
Historical,Brest,1985,-2.716,4.640,1.122,0.242
Historical,Brest,1986,-3.149,4.769,0.971,-0.891
Historical,Brest,1987,-3.791,3.072,0.082,-1.026
Historical,Brest,1988,-1.651,4.538,1.471,1.363
Historical,Brest,1989,-2.725,2.972,0.255,0.706
Historical,Brest,1990,-3.450,4.208,1.748,2.468
Historical,Brest,1991,-4.017,4.920,1.727,2.231
Historical,Brest,1992,-6.167,4.118,-0.678,1.113
Historical,Brest,1993,-4.921,5.028,0.668,-0.011
Historical,Brest,1994,-3.809,4.115,0.396,1.362
Historical,Brest,1995,-4.338,4.975,1.031,0.664
Historical,Brest,1996,-1.986,4.977,0.800,1.067
Historical,Brest,1997,-3.411,3.594,1.038,-0.700
Historical,Brest,1998,-5.276,3.987,1.026,-0.464
Historical,Brest,1999,-1.395,4.470,0.522,0.786
Historical,Brest,2000,-4.009,5.751,2.079,1.759
Historical,Brest,2001,-1.827,5.106,0.845,0.788
Historical,Brest,2002,-3.235,5.221,0.215,2.047
Historical,Brest,2003,-3.360,5.355,-0.072,0.553
Historical,Brest,2004,-3.918,3.375,2.018,2.214
Historical,Brest,2005,-1.953,6.551,2.360,1.631
Historical,Brest,2006,-1.975,5.039,1.529,0.962
Historical,Brest,2007,-3.517,3.809,1.137,1.454
Historical,Brest,2008,-0.537,4.958,2.196,2.512
Historical,Brest,2009,-3.533,4.571,1.588,1.489
Historical,Brest,2010,-2.448,4.855,1.742,2.410
Historical,Brest,2011,-3.148,4.990,1.063,1.620
Historical,Brest,2012,-2.934,5.027,2.250,2.030
Historical,Brest,2013,-1.830,5.664,1.042,0.956
Historical,Brest,2014,-3.812,4.617,1.478,1.102
Historical,Gomel,1900,-5.717,2.319,-0.873,-0.980
Historical,Gomel,1901,-5.745,4.367,-1.461,-2.011
Historical,Gomel,1902,-6.911,2.962,-0.628,-1.045
Historical,Gomel,1903,-7.242,1.642,-2.075,-1.354
Historical,Gomel,1904,-4.414,2.578,-0.852,-0.770
Historical,Gomel,1905,-5.640,1.536,-1.468,-2.066
Historical,Gomel,1906,-6.281,3.769,-1.708,-3.236
Historical,Gomel,1907,-5.601,2.519,-1.942,-0.934
Historical,Gomel,1908,-5.367,3.419,-0.949,-1.511
Historical,Gomel,1909,-4.851,1.701,-2.177,-1.707
Historical,Gomel,1910,-4.452,2.705,-1.061,-1.092
Historical,Gomel,1911,-8.372,3.296,-1.453,-3.394
Historical,Gomel,1912,-5.823,2.512,-0.746,-0.393
Historical,Gomel,1913,-8.072,2.142,-0.503,-1.838
Historical,Gomel,1914,-5.490,3.518,-0.986,-1.274
Historical,Gomel,1915,-4.296,2.345,-0.138,-0.799
Historical,Gomel,1916,-4.727,2.615,-0.699,-0.292
Historical,Gomel,1917,-5.581,3.121,-0.117,0.134
Historical,Gomel,1918,-6.063,2.018,-1.794,-1.828
Historical,Gomel,1919,-5.391,3.549,-2.061,-0.701
Historical,Gomel,1920,-4.699,3.438,-0.667,-1.236
Historical,Gomel,1921,-4.830,1.405,-1.903,-1.568
Historical,Gomel,1922,-3.586,4.142,-1.133,-0.522
Historical,Gomel,1923,-5.872,3.951,-1.246,-2.003
Historical,Gomel,1924,-4.922,2.233,-0.442,-0.974
Historical,Gomel,1925,-3.830,3.131,0.331,0.385
Historical,Gomel,1926,-4.609,1.919,-0.696,-0.173
Historical,Gomel,1927,-5.816,3.996,-1.523,-1.632
Historical,Gomel,1928,-4.594,3.364,0.012,-2.577
Historical,Gomel,1929,-6.554,3.068,-0.044,-1.131
Historical,Gomel,1930,-7.486,2.230,-1.729,-0.749
Historical,Gomel,1931,-7.169,2.627,-1.860,-1.209
Historical,Gomel,1932,-5.656,3.307,-0.395,-0.954
Historical,Gomel,1933,-9.096,2.403,-2.259,-1.923
Historical,Gomel,1934,-5.067,2.305,-1.512,-2.922
Historical,Gomel,1935,-3.988,2.499,-1.956,-1.437
Historical,Gomel,1936,-5.351,2.880,-0.735,-0.827
Historical,Gomel,1937,-5.048,3.338,-1.483,0.343
Historical,Gomel,1938,-5.066,4.152,-1.336,-0.270
Historical,Gomel,1939,-6.018,1.896,-2.646,-1.264
Historical,Gomel,1940,-5.489,3.198,-2.107,-2.092
Historical,Gomel,1941,-6.941,2.887,-1.822,-1.548
Historical,Gomel,1942,-4.969,3.562,-0.700,0.138
Historical,Gomel,1943,-3.579,2.593,-1.307,-1.134
Historical,Gomel,1944,-6.062,2.521,-2.213,-0.844
Historical,Gomel,1945,-7.732,1.916,-1.554,-1.196
Historical,Gomel,1946,-5.444,2.894,-0.613,-0.819
Historical,Gomel,1947,-5.566,4.233,-2.362,-1.942
Historical,Gomel,1948,-7.464,2.167,-1.597,-2.354
Historical,Gomel,1949,-6.531,3.915,-0.834,0.590
Historical,Gomel,1950,-4.647,2.729,-1.286,-0.569
Historical,Gomel,1951,-5.456,1.595,-1.989,-2.698
Historical,Gomel,1952,-5.187,2.542,-1.383,-1.784
Historical,Gomel,1953,-6.308,2.591,-1.474,-2.155
Historical,Gomel,1954,-7.180,1.810,-0.836,-2.282
Historical,Gomel,1955,-6.081,1.529,-2.301,-1.297
Historical,Gomel,1956,-4.770,2.449,-1.148,-1.637
Historical,Gomel,1957,-7.284,1.861,-1.933,-1.360
Historical,Gomel,1958,-5.074,3.490,-1.204,0.039
Historical,Gomel,1959,-5.333,2.328,-0.334,-0.271
Historical,Gomel,1960,-4.769,4.067,-1.267,-2.669
Historical,Gomel,1961,-4.511,2.811,-0.227,0.609
Historical,Gomel,1962,-4.887,2.715,-0.662,-0.945
Historical,Gomel,1963,-3.671,3.669,-0.433,-0.341
Historical,Gomel,1964,-3.333,3.270,1.101,0.547
Historical,Gomel,1965,-8.055,3.481,-0.800,-1.524
Historical,Gomel,1966,-7.162,3.083,-0.569,-0.032
Historical,Gomel,1967,-6.317,2.384,-1.418,-2.909
Historical,Gomel,1968,-7.441,3.254,-1.108,-1.260
Historical,Gomel,1969,-6.524,3.181,-2.091,-2.708
Historical,Gomel,1970,-5.823,2.857,0.154,-0.166
Historical,Gomel,1971,-6.013,3.195,-0.802,-1.146
Historical,Gomel,1972,-6.341,3.065,-1.245,-2.252
Historical,Gomel,1973,-2.187,2.693,0.201,0.247
Historical,Gomel,1974,-5.840,4.124,-1.264,-1.042
Historical,Gomel,1975,-7.046,3.368,-1.338,-0.523
Historical,Gomel,1976,-4.561,2.633,-0.625,-1.012
Historical,Gomel,1977,-5.228,2.234,-1.400,-1.107
Historical,Gomel,1978,-5.943,3.397,-0.064,0.286
