experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,9.380,16.068,12.569,13.305
Historical,Brest,1901,9.698,15.635,13.031,13.628
Historical,Brest,1902,9.781,16.211,13.250,13.831
Historical,Brest,1903,9.495,16.259,12.949,12.432
Historical,Brest,1904,10.040,15.362,12.395,12.906
Historical,Brest,1905,9.755,16.449,13.600,12.628
Historical,Brest,1906,10.718,16.459,13.400,14.225
Historical,Brest,1907,10.815,15.433,13.122,14.364
Historical,Brest,1908,9.971,16.115,12.955,14.341
Historical,Brest,1909,10.121,16.095,13.212,13.664
Historical,Brest,1910,10.467,15.377,13.420,14.006
Historical,Brest,1911,9.738,16.062,13.632,13.449
Historical,Brest,1912,10.240,16.935,13.594,13.390
Historical,Brest,1913,9.407,16.364,12.894,13.445
Historical,Brest,1914,9.218,15.113,12.620,13.866
Historical,Brest,1915,9.920,16.995,13.448,13.588
Historical,Brest,1916,9.855,16.591,12.493,13.509
Historical,Brest,1917,9.957,16.040,12.846,13.786
Historical,Brest,1918,10.286,15.262,12.382,12.245
Historical,Brest,1919,10.157,15.826,13.135,13.552
Historical,Brest,1920,9.765,16.030,12.388,13.749
Historical,Brest,1921,10.401,16.355,13.062,14.002
Historical,Brest,1922,10.445,16.697,13.544,14.343
Historical,Brest,1923,11.290,15.514,12.845,13.553
Historical,Brest,1924,10.289,15.793,12.899,12.745
Historical,Brest,1925,9.985,15.636,13.096,13.110
Historical,Brest,1926,10.575,17.502,13.213,14.023
Historical,Brest,1927,9.907,17.320,13.263,14.004
Historical,Brest,1928,9.718,14.425,12.956,13.309
Historical,Brest,1929,10.049,15.657,12.899,12.740
Historical,Brest,1930,11.023,16.776,13.861,14.282
Historical,Brest,1931,10.920,14.765,12.686,12.633
Historical,Brest,1932,10.239,15.921,13.469,13.931
Historical,Brest,1933,10.713,15.769,12.486,13.646
Historical,Brest,1934,9.542,16.872,12.672,13.722
Historical,Brest,1935,10.471,15.866,12.361,13.295
Historical,Brest,1936,11.810,16.251,12.783,13.596
Historical,Brest,1937,9.850,15.727,12.715,12.543
Historical,Brest,1938,11.407,16.085,13.225,13.400
Historical,Brest,1939,10.470,16.108,13.275,13.608
Historical,Brest,1940,11.262,15.437,13.155,13.120
Historical,Brest,1941,10.108,15.416,12.780,13.554
Historical,Brest,1942,10.083,15.033,13.062,13.042
Historical,Brest,1943,10.201,15.931,13.375,13.731
Historical,Brest,1944,11.149,16.754,13.849,13.054
Historical,Brest,1945,9.475,16.141,12.684,12.926
Historical,Brest,1946,11.314,15.689,13.541,13.898
Historical,Brest,1947,10.031,15.698,12.972,12.825
Historical,Brest,1948,10.252,15.937,12.778,13.622
Historical,Brest,1949,10.210,16.320,12.780,14.000
Historical,Brest,1950,11.037,14.705,12.381,12.749
Historical,Brest,1951,9.468,15.602,12.666,12.672
Historical,Brest,1952,9.829,15.439,13.708,12.577
Historical,Brest,1953,8.586,15.251,13.161,13.308
Historical,Brest,1954,10.564,15.704,12.840,13.495
Historical,Brest,1955,8.549,15.371,13.052,12.554
Historical,Brest,1956,10.151,17.364,13.245,12.671
Historical,Brest,1957,10.750,15.395,12.505,12.479
Historical,Brest,1958,10.726,14.735,13.298,13.893
Historical,Brest,1959,11.015,15.611,12.781,12.915
Historical,Brest,1960,11.254,14.428,12.610,13.180
Historical,Brest,1961,10.019,16.002,12.505,13.420
Historical,Brest,1962,10.592,15.273,12.492,13.011
Historical,Brest,1963,9.796,15.492,13.132,13.114
Historical,Brest,1964,10.500,15.045,12.219,12.834
Historical,Brest,1965,10.329,16.889,12.891,12.438
Historical,Brest,1966,10.876,14.922,13.175,13.181
Historical,Brest,1967,10.071,16.300,12.486,13.860
Historical,Brest,1968,10.169,15.390,12.673,12.578
Historical,Brest,1969,10.060,16.353,13.240,13.433
Historical,Brest,1970,9.452,15.169,12.940,13.062
Historical,Brest,1971,9.586,15.742,12.865,13.831
Historical,Brest,1972,10.053,16.766,12.800,14.044
Historical,Brest,1973,9.803,16.417,13.291,14.339
Historical,Brest,1974,10.819,15.086,13.010,13.032
Historical,Brest,1975,10.133,15.926,12.927,14.566
Historical,Brest,1976,9.190,15.257,12.665,12.161
Historical,Brest,1977,10.168,15.364,12.721,12.650
Historical,Brest,1978,9.548,16.557,12.111,12.355
Historical,Brest,1979,7.945,14.990,12.934,12.108
Historical,Brest,1980,10.775,15.565,12.546,12.895
Historical,Brest,1981,11.030,16.440,12.830,13.739
Historical,Brest,1982,8.593,17.117,12.960,14.275
Historical,Brest,1983,10.739,15.072,12.928,13.426
Historical,Brest,1984,10.249,15.052,12.735,14.315
Historical,Brest,1985,9.455,14.469,13.125,13.258
Historical,Brest,1986,9.465,15.096,12.845,13.036
Historical,Brest,1987,10.902,15.899,13.193,14.226
Historical,Brest,1988,11.108,15.733,13.160,13.796
Historical,Brest,1989,10.027,17.055,13.063,13.816
Historical,Brest,1990,11.112,16.164,12.955,13.484
Historical,Brest,1991,10.624,16.146,13.150,13.655
Historical,Brest,1992,10.089,15.722,12.949,13.410
Historical,Brest,1993,9.928,15.034,13.005,13.615
Historical,Brest,1994,10.068,16.929,13.685,13.656
Historical,Brest,1995,9.995,15.751,12.649,12.814
Historical,Brest,1996,10.010,16.798,12.881,14.195
Historical,Brest,1997,10.879,16.335,13.545,13.561
Historical,Brest,1998,10.678,16.641,13.066,13.745
Historical,Brest,1999,11.276,15.599,12.755,13.490
Historical,Brest,2000,11.167,15.835,13.810,14.351
Historical,Brest,2001,11.552,16.929,12.950,13.439
Historical,Brest,2002,11.286,17.140,13.399,14.738
Historical,Brest,2003,10.441,17.296,14.142,14.234
Historical,Brest,2004,11.052,16.394,13.382,14.290
Historical,Brest,2005,11.873,16.323,13.675,14.109
Historical,Brest,2006,12.203,16.086,14.371,14.482
Historical,Brest,2007,11.113,16.433,14.213,14.992
Historical,Brest,2008,11.535,17.454,13.204,14.232
Historical,Brest,2009,10.735,17.763,13.533,13.905
Historical,Brest,2010,10.466,17.103,14.127,14.678
Historical,Brest,2011,10.948,16.966,12.957,13.683
Historical,Brest,2012,10.042,16.143,13.713,14.284
Historical,Brest,2013,11.159,16.741,13.728,13.759
Historical,Brest,2014,11.079,16.408,14.198,13.787
Historical,Gomel,1900,8.984,16.998,12.925,13.780
Historical,Gomel,1901,9.527,16.583,13.466,14.052
Historical,Gomel,1902,9.657,16.725,13.123,14.523
Historical,Gomel,1903,9.818,16.068,13.198,12.959
Historical,Gomel,1904,9.351,15.506,12.591,13.589
Historical,Gomel,1905,10.293,16.388,13.692,13.731
Historical,Gomel,1906,10.541,16.639,13.479,14.404
Historical,Gomel,1907,9.313,16.183,12.952,15.009
Historical,Gomel,1908,9.874,16.926,13.623,14.612
Historical,Gomel,1909,10.611,16.278,13.747,14.298
Historical,Gomel,1910,11.346,15.819,13.371,14.539
Historical,Gomel,1911,9.893,16.660,13.466,13.943
Historical,Gomel,1912,10.599,17.569,14.358,14.087
Historical,Gomel,1913,8.973,16.429,12.734,14.268
Historical,Gomel,1914,10.176,16.492,13.066,14.332
Historical,Gomel,1915,10.306,18.093,13.265,14.424
Historical,Gomel,1916,10.011,17.853,12.737,13.622
Historical,Gomel,1917,9.911,16.648,13.015,14.265
Historical,Gomel,1918,10.307,16.329,12.654,12.396
Historical,Gomel,1919,10.273,15.962,13.264,13.890
Historical,Gomel,1920,10.732,16.601,12.930,14.201
Historical,Gomel,1921,11.117,16.359,13.164,14.056
Historical,Gomel,1922,10.767,16.925,14.091,14.897
Historical,Gomel,1923,11.644,16.011,13.517,14.249
Historical,Gomel,1924,10.449,16.336,13.191,12.977
Historical,Gomel,1925,10.464,15.906,13.524,13.489
Historical,Gomel,1926,10.819,17.922,13.255,14.793
Historical,Gomel,1927,10.237,18.351,14.064,14.826
Historical,Gomel,1928,10.051,14.764,13.014,13.845
Historical,Gomel,1929,10.663,16.245,12.829,13.185
Historical,Gomel,1930,10.678,17.362,14.396,14.902
Historical,Gomel,1931,11.177,15.431,12.838,13.395
Historical,Gomel,1932,10.669,16.273,14.093,14.205
Historical,Gomel,1933,10.510,16.708,13.434,13.831
Historical,Gomel,1934,9.439,16.962,13.240,14.607
Historical,Gomel,1935,10.816,16.319,13.073,14.228
Historical,Gomel,1936,11.541,16.768,13.448,14.362
Historical,Gomel,1937,10.213,16.322,13.122,13.280
Historical,Gomel,1938,11.406,16.486,13.633,13.583
Historical,Gomel,1939,10.903,17.193,13.826,13.567
Historical,Gomel,1940,11.116,15.887,13.007,13.658
Historical,Gomel,1941,9.924,16.133,13.405,14.430
Historical,Gomel,1942,10.893,15.517,13.506,13.523
Historical,Gomel,1943,10.297,16.760,13.885,14.652
Historical,Gomel,1944,10.908,17.338,14.099,13.779
Historical,Gomel,1945,9.282,16.569,13.288,13.443
Historical,Gomel,1946,11.726,16.222,13.505,13.871
Historical,Gomel,1947,10.088,16.588,13.246,13.139
Historical,Gomel,1948,9.439,15.996,13.188,13.565
Historical,Gomel,1949,9.888,17.106,13.405,14.957
Historical,Gomel,1950,10.960,15.114,12.731,13.301
Historical,Gomel,1951,9.970,15.750,13.221,13.277
Historical,Gomel,1952,10.096,16.343,13.374,13.395
Historical,Gomel,1953,8.429,15.777,13.326,13.724
Historical,Gomel,1954,10.581,16.446,13.296,14.428
Historical,Gomel,1955,9.132,16.009,13.072,12.790
Historical,Gomel,1956,10.303,17.903,13.359,13.005
Historical,Gomel,1957,10.979,15.683,12.935,13.228
Historical,Gomel,1958,10.353,15.630,13.785,14.475
Historical,Gomel,1959,11.474,15.584,13.219,13.649
Historical,Gomel,1960,11.241,15.147,13.289,13.841
Historical,Gomel,1961,9.992,16.545,12.851,13.671
Historical,Gomel,1962,10.642,16.258,12.716,13.709
Historical,Gomel,1963,9.620,15.966,13.829,13.649
Historical,Gomel,1964,10.420,15.865,12.412,13.320
Historical,Gomel,1965,10.632,16.833,12.998,13.540
Historical,Gomel,1966,11.244,15.634,13.477,13.646
Historical,Gomel,1967,9.475,16.759,13.109,13.974
Historical,Gomel,1968,9.996,15.613,13.010,13.356
Historical,Gomel,1969,9.273,16.782,13.166,14.073
Historical,Gomel,1970,9.936,15.381,13.555,13.668
Historical,Gomel,1971,10.455,16.001,13.060,14.248
Historical,Gomel,1972,11.360,17.174,12.625,14.575
Historical,Gomel,1973,10.919,15.996,13.444,14.625
Historical,Gomel,1974,10.569,15.752,13.295,13.318
Historical,Gomel,1975,9.817,16.899,13.133,15.513
Historical,Gomel,1976,9.735,15.928,13.181,12.764
Historical,Gomel,1977,10.001,15.646,12.832,13.202
Historical,Gomel,1978,9.303,17.044,13.095,13.156
