experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-3.161,4.633,1.206,0.338
Historical,Brest,1901,-2.133,4.603,1.293,1.236
Historical,Brest,1902,-2.862,5.049,1.555,1.934
Historical,Brest,1903,-2.549,4.120,1.827,1.437
Historical,Brest,1904,-3.086,4.278,0.589,0.036
Historical,Brest,1905,-2.025,4.072,0.569,1.016
Historical,Brest,1906,-3.527,4.214,0.047,-0.358
Historical,Brest,1907,-1.586,3.401,1.052,0.986
Historical,Brest,1908,-3.234,3.906,0.899,0.845
Historical,Brest,1909,-2.203,4.292,1.022,-0.801
Historical,Brest,1910,-2.644,4.025,1.584,1.198
Historical,Brest,1911,-4.686,4.510,1.204,1.045
Historical,Brest,1912,-3.330,4.266,1.840,0.427
Historical,Brest,1913,-2.243,3.594,1.666,2.398
Historical,Brest,1914,-3.969,3.466,0.495,-0.478
Historical,Brest,1915,-3.914,4.362,1.049,1.103
Historical,Brest,1916,-2.795,3.513,1.164,1.099
Historical,Brest,1917,-2.255,4.549,1.413,2.506
Historical,Brest,1918,-1.601,3.821,2.303,1.119
Historical,Brest,1919,-1.453,5.191,1.959,3.743
Historical,Brest,1920,-2.385,4.091,2.117,0.589
Historical,Brest,1921,-1.437,5.971,2.528,2.115
Historical,Brest,1922,-2.222,4.199,2.276,1.913
Historical,Brest,1923,-2.436,4.336,1.703,2.323
Historical,Brest,1924,-1.361,5.378,1.927,1.981
Historical,Brest,1925,-0.987,4.928,2.009,1.713
Historical,Brest,1926,-1.389,4.343,1.874,2.462
Historical,Brest,1927,-0.943,3.998,1.763,2.149
Historical,Brest,1928,-2.490,4.950,1.429,2.126
Historical,Brest,1929,-1.973,4.271,1.133,1.056
Historical,Brest,1930,-0.022,3.973,2.580,2.000
Historical,Brest,1931,-2.986,4.457,2.590,1.900
Historical,Brest,1932,-2.290,4.231,2.309,1.261
Historical,Brest,1933,-1.513,4.279,1.813,1.173
Historical,Brest,1934,-2.067,4.304,1.617,0.668
Historical,Brest,1935,-1.123,4.504,1.084,2.169
Historical,Brest,1936,-1.140,4.532,1.659,2.307
Historical,Brest,1937,-2.670,3.896,1.266,2.192
Historical,Brest,1938,-2.386,4.239,1.374,0.231
Historical,Brest,1939,-1.484,4.761,1.367,0.762
Historical,Brest,1940,-2.950,4.188,0.899,1.106
Historical,Brest,1941,-0.946,4.072,1.589,1.767
Historical,Brest,1942,-1.443,4.033,2.333,0.803
Historical,Brest,1943,-0.788,4.482,1.971,1.758
Historical,Brest,1944,-1.623,4.200,0.498,0.512
Historical,Brest,1945,-4.195,3.464,0.449,-0.981
Historical,Brest,1946,-0.089,4.189,2.654,2.945
Historical,Brest,1947,-2.675,4.179,1.549,0.297
Historical,Brest,1948,-1.494,3.910,1.946,1.691
Historical,Brest,1949,-3.272,4.195,2.568,2.170
Historical,Brest,1950,-2.294,4.496,1.768,0.770
Historical,Brest,1951,-1.458,4.446,1.636,1.687
Historical,Brest,1952,-1.489,3.484,0.482,1.276
Historical,Brest,1953,-2.661,3.644,1.203,0.329
Historical,Brest,1954,-2.064,4.977,1.838,0.269
Historical,Brest,1955,-2.359,4.556,1.299,0.275
Historical,Brest,1956,-1.954,4.029,1.120,0.265
Historical,Brest,1957,-3.612,4.781,1.908,1.663
Historical,Brest,1958,-2.402,4.873,1.958,1.868
Historical,Brest,1959,-3.308,4.718,1.891,1.578
Historical,Brest,1960,-0.286,5.240,1.970,3.076
Historical,Brest,1961,-2.595,4.597,2.574,3.076
Historical,Brest,1962,-1.410,4.280,1.466,2.392
Historical,Brest,1963,-1.390,4.669,2.039,2.136
Historical,Brest,1964,-2.701,4.602,1.963,1.033
Historical,Brest,1965,-2.065,4.431,1.629,1.252
Historical,Brest,1966,-2.250,4.309,1.183,2.032
