experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,4.210,10.867,6.851,7.159
Historical,Brest,1901,4.551,9.641,7.581,7.261
Historical,Brest,1902,4.737,9.848,6.751,7.767
Historical,Brest,1903,4.877,9.133,7.227,6.807
Historical,Brest,1904,4.784,8.433,7.033,7.165
Historical,Brest,1905,5.533,9.373,6.637,7.091
Historical,Brest,1906,4.976,8.834,6.631,7.360
Historical,Brest,1907,2.789,9.490,7.029,5.969
Historical,Brest,1908,3.990,10.801,7.239,7.312
Historical,Brest,1909,4.009,9.092,6.914,6.420
Historical,Brest,1910,4.562,10.043,6.515,6.796
Historical,Brest,1911,3.438,9.354,7.199,7.379
Historical,Brest,1912,3.857,7.938,5.924,6.425
Historical,Brest,1913,3.463,9.205,7.049,6.187
Historical,Brest,1914,3.563,9.411,7.198,7.822
Historical,Brest,1915,4.723,9.789,7.539,7.882
Historical,Brest,1916,3.927,9.143,7.278,6.960
Historical,Brest,1917,6.002,9.452,7.653,7.404
Historical,Brest,1918,4.202,9.596,7.738,8.359
Historical,Brest,1919,4.530,9.903,7.626,6.919
Historical,Brest,1920,4.472,9.024,5.882,7.023
Historical,Brest,1921,4.270,9.731,7.705,7.867
Historical,Brest,1922,5.422,9.133,7.626,7.772
Historical,Brest,1923,4.544,10.882,7.996,8.246
Historical,Brest,1924,4.298,11.046,6.315,6.361
Historical,Brest,1925,5.544,9.444,7.735,6.967
Historical,Brest,1926,5.543,9.878,7.950,7.668
Historical,Brest,1927,4.400,9.618,7.040,5.663
Historical,Brest,1928,4.423,10.688,7.290,8.332
Historical,Brest,1929,4.687,9.537,6.849,6.448
Historical,Brest,1930,4.700,11.751,7.659,7.819
Historical,Brest,1931,5.101,9.167,7.256,7.109
Historical,Brest,1932,3.489,10.579,6.907,7.577
Historical,Brest,1933,5.131,10.504,7.787,7.665
Historical,Brest,1934,4.152,8.762,6.969,7.066
Historical,Brest,1935,4.928,10.281,7.660,7.497
Historical,Brest,1936,4.752,9.782,7.344,7.195
Historical,Brest,1937,5.033,10.502,7.406,6.835
Historical,Brest,1938,3.852,9.934,7.129,5.869
Historical,Brest,1939,4.147,9.758,7.533,6.742
Historical,Brest,1940,4.866,10.529,7.740,8.634
Historical,Brest,1941,4.152,9.569,7.131,6.868
Historical,Brest,1942,3.094,9.098,6.378,6.171
Historical,Brest,1943,5.227,9.940,7.537,8.203
Historical,Brest,1944,5.018,9.863,7.627,6.223
Historical,Brest,1945,3.734,9.106,7.032,6.361
Historical,Brest,1946,4.046,9.248,6.218,5.536
Historical,Brest,1947,4.521,9.247,6.756,7.318
Historical,Brest,1948,4.285,10.157,7.359,7.873
Historical,Brest,1949,4.246,9.691,7.249,7.799
Historical,Brest,1950,5.026,9.949,7.298,7.151
Historical,Brest,1951,5.656,9.778,7.516,6.968
Historical,Brest,1952,5.228,9.640,7.352,7.760
Historical,Brest,1953,4.357,9.416,6.604,6.974
Historical,Brest,1954,4.221,9.081,7.136,6.353
Historical,Brest,1955,3.537,9.197,7.284,6.914
Historical,Brest,1956,4.607,9.621,7.598,7.387
Historical,Brest,1957,5.321,9.430,7.424,7.784
Historical,Brest,1958,4.781,9.149,7.951,6.612
Historical,Brest,1959,4.375,10.346,6.632,6.823
Historical,Brest,1960,4.583,9.353,7.359,7.442
Historical,Brest,1961,4.029,8.825,6.585,6.920
Historical,Brest,1962,5.270,9.778,7.465,6.759
Historical,Brest,1963,3.615,9.330,7.398,6.219
Historical,Brest,1964,3.930,8.987,6.589,6.992
Historical,Brest,1965,3.681,9.630,6.682,6.865
Historical,Brest,1966,4.439,9.363,7.212,7.530
Historical,Brest,1967,4.090,9.305,7.452,7.576
Historical,Brest,1968,3.609,9.921,7.132,6.384
Historical,Brest,1969,4.151,9.505,7.611,7.488
Historical,Brest,1970,5.279,8.742,6.941,7.129
Historical,Brest,1971,5.085,10.276,8.014,7.899
Historical,Brest,1972,4.004,9.235,6.731,5.994
Historical,Brest,1973,4.695,9.214,6.839,6.434
Historical,Brest,1974,4.147,9.274,7.274,7.198
Historical,Brest,1975,4.258,8.789,7.041,6.660
Historical,Brest,1976,4.835,9.311,7.262,6.451
Historical,Brest,1977,4.355,9.160,6.927,6.442
Historical,Brest,1978,3.791,10.702,8.312,8.235
Historical,Brest,1979,5.341,8.599,6.736,7.287
Historical,Brest,1980,4.444,9.048,6.937,6.817
Historical,Brest,1981,4.647,9.600,6.839,7.563
Historical,Brest,1982,5.602,8.711,7.617,6.489
Historical,Brest,1983,4.031,9.034,6.603,7.323
Historical,Brest,1984,5.404,9.622,7.180,7.572
Historical,Brest,1985,4.702,9.769,6.355,5.992
Historical,Brest,1986,4.839,9.541,7.535,6.962
Historical,Brest,1987,3.965,8.995,6.751,7.255
Historical,Brest,1988,4.265,10.236,7.397,6.441
Historical,Brest,1989,5.560,10.562,7.449,7.350
Historical,Brest,1990,4.222,9.345,7.275,7.201
Historical,Brest,1991,4.818,9.536,7.172,7.271
Historical,Brest,1992,3.912,9.398,6.621,6.091
Historical,Brest,1993,5.331,10.050,7.108,7.005
Historical,Brest,1994,5.487,10.114,7.828,7.225
Historical,Brest,1995,5.284,9.177,7.282,7.985
Historical,Brest,1996,5.708,10.486,8.590,8.153
Historical,Brest,1997,5.751,10.429,8.377,7.681
Historical,Brest,1998,4.729,10.041,7.912,7.555
Historical,Brest,1999,5.397,10.340,8.112,7.067
Historical,Brest,2000,5.574,10.691,8.755,8.850
Historical,Brest,2001,6.085,11.071,7.662,9.831
Historical,Brest,2002,5.688,9.594,7.369,7.139
Historical,Brest,2003,6.068,10.687,8.519,7.343
Historical,Brest,2004,4.879,10.565,7.894,6.806
Historical,Brest,2005,5.288,11.060,8.160,8.134
Historical,Brest,2006,5.404,9.774,7.301,7.767
Historical,Brest,2007,5.118,10.722,8.066,8.162
Historical,Brest,2008,5.290,10.243,7.995,7.713
Historical,Brest,2009,4.599,10.923,9.037,7.310
Historical,Brest,2010,6.404,10.223,8.990,8.004
Historical,Brest,2011,6.320,10.971,7.627,7.499
Historical,Brest,2012,6.012,11.000,9.258,8.387
Historical,Brest,2013,5.848,11.000,8.702,8.970
Historical,Brest,2014,5.789,11.244,9.344,8.248
Historical,Gomel,1900,3.758,10.728,6.793,5.862
Historical,Gomel,1901,4.007,9.157,7.063,6.456
Historical,Gomel,1902,4.058,9.465,7.111,7.540
Historical,Gomel,1903,3.972,9.158,6.557,6.249
Historical,Gomel,1904,4.655,8.266,6.641,7.133
Historical,Gomel,1905,5.368,8.994,6.682,6.139
Historical,Gomel,1906,4.633,8.508,6.401,6.279
Historical,Gomel,1907,2.317,9.678,6.817,5.073
Historical,Gomel,1908,2.568,10.448,6.859,6.709
Historical,Gomel,1909,3.898,8.610,6.057,5.817
Historical,Gomel,1910,4.257,9.838,6.513,7.167
Historical,Gomel,1911,2.959,8.426,6.925,6.322
Historical,Gomel,1912,3.380,7.356,5.847,5.245
Historical,Gomel,1913,3.416,9.123,6.416,5.028
Historical,Gomel,1914,3.567,9.335,6.841,7.437
Historical,Gomel,1915,4.325,10.176,7.310,7.207
Historical,Gomel,1916,3.815,8.942,6.671,6.721
Historical,Gomel,1917,5.791,8.831,7.326,7.066
Historical,Gomel,1918,4.335,9.322,7.418,7.782
Historical,Gomel,1919,4.341,9.275,7.402,7.559
Historical,Gomel,1920,4.362,8.954,5.918,6.452
Historical,Gomel,1921,4.050,10.280,7.506,6.940
Historical,Gomel,1922,4.599,9.263,7.483,7.287
Historical,Gomel,1923,4.265,11.108,7.526,8.026
Historical,Gomel,1924,3.678,10.156,5.660,6.151
Historical,Gomel,1925,5.192,8.782,7.123,6.753
Historical,Gomel,1926,4.766,9.819,7.562,7.722
Historical,Gomel,1927,4.273,9.275,6.754,5.783
Historical,Gomel,1928,4.001,10.343,7.388,6.969
Historical,Gomel,1929,3.536,8.656,7.056,7.321
Historical,Gomel,1930,4.501,11.376,7.583,7.429
Historical,Gomel,1931,4.324,9.607,6.779,5.301
Historical,Gomel,1932,3.463,9.565,6.449,6.288
Historical,Gomel,1933,4.246,9.684,7.130,7.525
Historical,Gomel,1934,4.389,8.719,6.507,6.844
Historical,Gomel,1935,4.571,10.763,7.657,7.122
Historical,Gomel,1936,3.974,9.327,6.837,7.396
Historical,Gomel,1937,4.672,10.195,6.819,7.267
Historical,Gomel,1938,3.623,10.444,6.507,6.760
Historical,Gomel,1939,4.076,9.714,7.595,6.542
Historical,Gomel,1940,4.449,10.212,7.331,6.862
Historical,Gomel,1941,3.584,8.853,6.831,6.276
Historical,Gomel,1942,2.307,9.054,6.023,5.459
Historical,Gomel,1943,5.225,10.292,7.542,8.898
Historical,Gomel,1944,4.152,9.452,7.652,7.287
Historical,Gomel,1945,3.249,8.980,6.962,6.752
Historical,Gomel,1946,3.760,8.820,6.177,5.658
Historical,Gomel,1947,3.971,8.591,6.991,6.601
Historical,Gomel,1948,4.076,10.079,6.734,7.757
Historical,Gomel,1949,3.301,9.269,6.659,6.393
Historical,Gomel,1950,4.613,9.642,7.064,6.703
Historical,Gomel,1951,5.114,9.508,7.384,8.177
Historical,Gomel,1952,4.649,8.646,6.760,6.958
Historical,Gomel,1953,3.944,9.226,6.419,6.612
Historical,Gomel,1954,3.375,9.130,6.431,6.569
Historical,Gomel,1955,3.284,8.596,7.032,6.743
Historical,Gomel,1956,3.973,9.202,7.271,6.552
Historical,Gomel,1957,4.479,9.318,7.136,6.954
Historical,Gomel,1958,4.167,8.745,7.366,7.068
Historical,Gomel,1959,3.727,10.029,6.785,5.868
Historical,Gomel,1960,4.447,9.201,7.246,7.085
Historical,Gomel,1961,3.394,8.705,5.902,5.991
Historical,Gomel,1962,5.374,9.204,7.129,6.745
Historical,Gomel,1963,3.559,9.257,6.911,6.220
Historical,Gomel,1964,3.932,8.488,6.394,7.024
Historical,Gomel,1965,2.426,9.684,6.375,6.137
Historical,Gomel,1966,4.186,9.024,6.424,6.359
Historical,Gomel,1967,3.692,8.798,6.791,7.263
Historical,Gomel,1968,3.482,9.932,7.157,6.615
Historical,Gomel,1969,4.802,9.715,7.232,7.740
Historical,Gomel,1970,4.644,8.496,6.866,7.657
Historical,Gomel,1971,5.108,10.288,7.691,6.773
Historical,Gomel,1972,4.049,8.784,6.626,6.171
Historical,Gomel,1973,4.867,9.199,6.981,6.049
Historical,Gomel,1974,3.802,9.603,6.423,7.015
Historical,Gomel,1975,3.537,8.903,6.864,5.872
Historical,Gomel,1976,4.770,8.909,6.747,5.437
Historical,Gomel,1977,4.054,8.527,6.545,5.422
Historical,Gomel,1978,3.540,9.973,7.747,7.073
Historical,Gomel,1979,4.967,8.478,6.477,6.263
Historical,Gomel,1980,3.554,8.595,6.731,7.282
Historical,Gomel,1981,4.144,9.175,6.379,6.475
Historical,Gomel,1982,4.359,8.799,6.932,6.187
Historical,Gomel,1983,3.304,8.805,6.617,6.008
Historical,Gomel,1984,4.537,9.074,6.780,7.204
Historical,Gomel,1985,4.304,8.713,6.564,5.917
