experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,10.293,15.153,12.641,11.449
Historical,Brest,1901,11.232,16.453,13.755,12.668
Historical,Brest,1902,10.376,14.410,12.977,11.379
Historical,Brest,1903,9.994,15.722,12.197,10.647
Historical,Brest,1904,10.573,14.691,12.315,11.637
Historical,Brest,1905,10.700,14.930,13.023,12.133
Historical,Brest,1906,10.187,15.166,13.258,11.446
Historical,Brest,1907,9.801,15.841,13.001,12.173
Historical,Brest,1908,10.863,15.571,12.611,12.456
Historical,Brest,1909,9.343,15.044,12.942,11.520
Historical,Brest,1910,11.083,15.831,13.343,12.347
Historical,Brest,1911,10.353,15.281,12.846,12.292
Historical,Brest,1912,8.908,15.140,12.157,11.737
Historical,Brest,1913,10.506,14.496,12.683,11.639
Historical,Brest,1914,11.025,15.390,13.665,12.632
Historical,Brest,1915,10.486,15.585,13.502,12.397
Historical,Brest,1916,11.383,15.156,13.272,11.946
Historical,Brest,1917,10.936,15.031,12.633,13.124
Historical,Brest,1918,11.087,15.840,13.109,11.649
Historical,Brest,1919,11.752,15.979,13.322,13.284
Historical,Brest,1920,10.190,15.471,13.207,11.830
Historical,Brest,1921,11.720,16.813,13.274,12.833
Historical,Brest,1922,10.622,16.263,12.348,11.779
Historical,Brest,1923,10.755,16.718,13.699,12.889
Historical,Brest,1924,10.481,15.516,12.748,11.896
Historical,Brest,1925,10.959,15.201,13.291,12.203
Historical,Brest,1926,10.795,16.618,13.263,12.762
Historical,Brest,1927,11.153,15.963,13.079,12.152
Historical,Brest,1928,11.151,15.514,13.619,11.893
Historical,Brest,1929,10.671,17.111,13.166,11.559
Historical,Brest,1930,10.911,16.105,13.698,13.370
Historical,Brest,1931,11.424,15.319,13.688,12.832
Historical,Brest,1932,10.937,15.362,13.016,12.175
Historical,Brest,1933,12.035,15.858,13.365,13.318
Historical,Brest,1934,11.399,15.908,13.464,11.788
Historical,Brest,1935,11.214,15.699,13.265,11.640
Historical,Brest,1936,11.450,16.035,13.753,12.494
Historical,Brest,1937,10.752,16.172,12.767,11.486
Historical,Brest,1938,10.384,16.203,13.026,11.618
Historical,Brest,1939,10.698,15.084,12.883,12.538
Historical,Brest,1940,11.395,16.569,13.071,12.376
Historical,Brest,1941,11.059,15.534,12.819,11.630
Historical,Brest,1942,9.960,15.036,12.635,12.016
Historical,Brest,1943,11.303,15.130,13.424,11.975
Historical,Brest,1944,11.444,15.769,13.279,12.033
Historical,Brest,1945,10.646,14.932,12.872,12.294
Historical,Brest,1946,10.992,16.171,12.496,11.614
Historical,Brest,1947,10.202,15.811,12.420,12.226
Historical,Brest,1948,10.876,15.787,12.867,12.459
Historical,Brest,1949,11.218,15.745,13.220,12.004
Historical,Brest,1950,11.114,15.314,12.919,12.505
Historical,Brest,1951,11.024,14.774,12.511,11.442
Historical,Brest,1952,11.350,15.801,12.989,11.871
Historical,Brest,1953,10.394,15.845,13.445,12.345
Historical,Brest,1954,10.153,15.025,12.574,11.455
Historical,Brest,1955,10.409,16.444,12.985,13.208
Historical,Brest,1956,10.171,16.484,13.064,12.353
Historical,Brest,1957,10.771,14.574,13.332,12.623
Historical,Brest,1958,11.642,15.160,13.167,12.656
Historical,Brest,1959,11.246,16.110,13.169,12.615
Historical,Brest,1960,9.651,15.361,12.983,10.428
Historical,Brest,1961,10.162,15.772,12.709,11.661
Historical,Brest,1962,10.565,14.554,12.806,12.449
Historical,Brest,1963,10.846,14.227,12.843,11.907
Historical,Brest,1964,10.715,15.725,12.302,12.173
Historical,Brest,1965,10.021,15.380,12.722,12.501
Historical,Brest,1966,9.873,14.965,12.854,11.430
Historical,Brest,1967,10.073,16.645,12.834,12.519
Historical,Brest,1968,10.717,14.916,12.468,11.152
Historical,Brest,1969,10.599,15.780,13.061,11.580
Historical,Brest,1970,10.025,15.718,12.991,11.424
Historical,Brest,1971,10.957,15.298,13.118,11.978
