experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,4.736,8.383,6.830,6.374
Historical,Brest,1901,4.109,8.897,6.635,6.469
Historical,Brest,1902,4.679,9.119,7.040,6.989
Historical,Brest,1903,3.897,8.515,6.484,6.543
Historical,Brest,1904,5.241,8.439,6.181,6.371
Historical,Brest,1905,4.983,8.113,6.352,6.280
Historical,Brest,1906,4.847,9.016,6.174,6.596
Historical,Brest,1907,4.722,8.514,7.095,6.460
Historical,Brest,1908,5.401,8.718,6.405,6.106
Historical,Brest,1909,4.398,9.009,6.055,6.246
Historical,Brest,1910,4.779,8.841,6.422,6.411
Historical,Brest,1911,4.868,8.548,6.577,6.273
Historical,Brest,1912,4.764,7.812,6.468,6.637
Historical,Brest,1913,4.317,8.139,6.768,6.612
Historical,Brest,1914,4.183,8.057,6.758,5.994
Historical,Brest,1915,4.984,8.684,6.575,6.565
Historical,Brest,1916,4.627,9.131,6.652,6.616
Historical,Brest,1917,4.744,8.300,7.041,6.910
Historical,Brest,1918,5.430,7.853,6.511,6.066
Historical,Brest,1919,4.942,8.588,7.046,6.699
Historical,Brest,1920,5.076,8.582,6.736,5.925
Historical,Brest,1921,5.344,8.780,7.217,7.076
Historical,Brest,1922,5.128,9.168,6.561,7.029
Historical,Brest,1923,5.220,8.692,6.204,6.039
Historical,Brest,1924,5.631,9.121,7.041,6.485
Historical,Brest,1925,5.848,8.821,7.314,7.044
Historical,Brest,1926,5.270,9.290,7.399,7.141
Historical,Brest,1927,5.469,8.883,7.199,6.789
Historical,Brest,1928,5.847,8.822,7.237,6.605
Historical,Brest,1929,4.924,9.075,6.976,6.785
Historical,Brest,1930,5.352,8.764,6.919,7.240
Historical,Brest,1931,5.236,8.053,6.937,6.679
Historical,Brest,1932,5.458,8.688,6.749,6.757
Historical,Brest,1933,4.780,8.350,6.639,6.386
Historical,Brest,1934,5.459,8.993,6.728,6.564
Historical,Brest,1935,5.315,8.608,6.579,6.652
Historical,Brest,1936,4.952,8.692,7.230,7.015
Historical,Brest,1937,5.315,8.657,7.208,6.862
Historical,Brest,1938,4.880,8.667,7.156,7.491
Historical,Brest,1939,5.547,8.328,6.717,6.609
Historical,Brest,1940,4.998,9.134,6.589,6.911
Historical,Brest,1941,4.963,8.551,6.620,6.663
Historical,Brest,1942,4.739,8.578,6.963,6.806
Historical,Brest,1943,5.045,8.463,7.185,6.533
Historical,Brest,1944,5.393,8.496,6.607,6.729
Historical,Brest,1945,5.112,8.178,6.433,6.563
Historical,Brest,1946,5.586,8.717,7.326,6.811
Historical,Brest,1947,4.397,8.938,6.495,5.981
Historical,Brest,1948,4.418,8.714,7.134,7.151
Historical,Brest,1949,5.370,9.010,6.885,6.937
Historical,Brest,1950,5.387,8.940,7.250,6.408
Historical,Brest,1951,4.552,8.589,6.518,6.380
