experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-7.502,1.032,-2.333,-3.339
Historical,Brest,1901,-6.479,1.161,-2.948,-2.265
Historical,Brest,1902,-6.490,0.111,-2.901,-2.753
Historical,Brest,1903,-5.629,0.474,-3.103,-2.126
Historical,Brest,1904,-6.432,0.298,-3.170,-3.580
Historical,Brest,1905,-6.367,0.176,-2.836,-2.840
Historical,Brest,1906,-6.224,1.096,-3.380,-2.620
Historical,Brest,1907,-5.187,0.681,-2.667,-2.677
Historical,Brest,1908,-7.527,0.568,-3.633,-3.044
Historical,Brest,1909,-6.302,1.174,-2.126,-3.244
Historical,Brest,1910,-5.461,1.600,-3.248,-3.296
Historical,Brest,1911,-5.257,0.600,-2.672,-1.711
Historical,Brest,1912,-6.284,0.348,-2.988,-1.657
Historical,Brest,1913,-6.760,-0.220,-2.705,-1.948
Historical,Brest,1914,-6.092,-0.127,-3.248,-2.726
Historical,Brest,1915,-6.268,0.878,-2.759,-1.478
Historical,Brest,1916,-6.065,0.433,-2.326,-1.441
Historical,Brest,1917,-5.817,-0.506,-3.016,-2.654
Historical,Brest,1918,-6.632,0.833,-2.237,-1.843
Historical,Brest,1919,-5.742,0.423,-2.643,-2.990
Historical,Brest,1920,-5.263,-0.652,-2.731,-2.826
Historical,Brest,1921,-5.103,2.114,-1.601,-1.503
Historical,Brest,1922,-5.874,0.876,-2.718,-2.987
Historical,Brest,1923,-6.487,0.147,-2.490,-3.198
Historical,Brest,1924,-4.460,1.176,-1.712,-1.049
Historical,Brest,1925,-4.540,0.809,-2.278,-1.488
Historical,Brest,1926,-4.854,1.312,-1.506,-2.188
Historical,Brest,1927,-4.221,1.655,-1.630,-2.431
Historical,Brest,1928,-5.394,0.152,-2.421,-1.908
Historical,Brest,1929,-6.053,0.921,-3.852,-2.216
Historical,Brest,1930,-6.877,-0.027,-2.200,-2.064
Historical,Brest,1931,-5.257,1.516,-2.589,-2.223
Historical,Brest,1932,-6.441,0.329,-2.987,-2.034
Historical,Brest,1933,-5.802,0.133,-2.217,-2.928
Historical,Brest,1934,-4.996,0.221,-2.334,-2.374
Historical,Brest,1935,-5.106,0.035,-2.233,-1.762
Historical,Brest,1936,-3.812,0.487,-1.714,-1.014
Historical,Brest,1937,-5.486,0.128,-1.829,-0.540
Historical,Brest,1938,-5.961,-0.026,-2.609,-2.206
Historical,Brest,1939,-5.707,0.758,-2.496,-3.179
Historical,Brest,1940,-5.656,0.975,-1.916,-2.060
Historical,Brest,1941,-5.684,1.225,-1.771,-1.571
Historical,Brest,1942,-6.332,0.624,-2.672,-2.299
Historical,Brest,1943,-6.394,-0.343,-1.966,-1.759
Historical,Brest,1944,-5.234,-0.233,-1.945,-1.723
Historical,Brest,1945,-5.208,1.163,-2.433,-2.656
Historical,Brest,1946,-5.138,0.824,-2.750,-2.025
Historical,Brest,1947,-8.392,1.260,-2.364,-3.137
Historical,Brest,1948,-5.880,1.086,-1.782,-1.843
Historical,Brest,1949,-5.371,0.625,-1.586,-1.883
Historical,Brest,1950,-5.676,0.050,-2.901,-2.857
Historical,Brest,1951,-6.361,0.085,-2.785,-2.657
Historical,Brest,1952,-6.186,0.752,-1.933,-2.137
Historical,Brest,1953,-5.902,0.756,-3.435,-2.406
Historical,Brest,1954,-6.199,0.551,-2.868,-2.265
Historical,Brest,1955,-4.955,1.016,-2.551,-2.305
Historical,Brest,1956,-7.119,-0.522,-3.599,-2.918
Historical,Brest,1957,-5.478,0.641,-2.700,-1.981
Historical,Brest,1958,-5.363,0.886,-2.474,-1.792
Historical,Brest,1959,-6.551,0.785,-1.787,-3.067
Historical,Brest,1960,-3.899,1.560,-2.293,-1.059
Historical,Brest,1961,-6.168,0.340,-2.154,-2.426
Historical,Brest,1962,-5.505,0.920,-1.838,-1.622
Historical,Brest,1963,-7.187,1.697,-1.789,-1.975
Historical,Brest,1964,-5.911,0.792,-2.450,-2.736
Historical,Brest,1965,-5.707,1.688,-2.077,-1.629
