experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,5.117,8.881,7.391,5.689
Historical,Brest,1901,4.856,9.208,7.749,6.277
Historical,Brest,1902,5.562,8.737,7.134,7.425
Historical,Brest,1903,4.655,8.722,7.357,5.907
Historical,Brest,1904,4.773,8.406,6.812,6.431
Historical,Brest,1905,4.941,8.676,6.828,6.333
Historical,Brest,1906,3.988,8.677,6.693,5.913
Historical,Brest,1907,4.843,9.296,6.847,5.622
Historical,Brest,1908,4.704,9.092,7.033,6.010
Historical,Brest,1909,4.076,9.081,6.787,6.080
Historical,Brest,1910,5.462,8.507,7.004,6.828
Historical,Brest,1911,4.805,8.523,7.248,6.172
Historical,Brest,1912,3.451,8.050,6.584,6.161
Historical,Brest,1913,4.858,8.102,7.028,6.848
Historical,Brest,1914,4.974,8.969,6.870,6.783
Historical,Brest,1915,4.221,9.277,7.180,7.056
Historical,Brest,1916,5.246,9.133,6.770,6.683
Historical,Brest,1917,5.504,8.583,7.384,7.239
Historical,Brest,1918,6.065,9.105,7.332,6.955
Historical,Brest,1919,5.664,9.601,7.626,7.881
Historical,Brest,1920,4.743,8.531,7.101,6.208
Historical,Brest,1921,5.774,10.364,7.674,7.247
Historical,Brest,1922,5.198,9.052,7.071,6.839
Historical,Brest,1923,5.757,9.738,7.503,7.061
Historical,Brest,1924,5.248,9.156,7.433,6.558
Historical,Brest,1925,6.163,8.746,7.343,7.031
Historical,Brest,1926,5.138,9.284,7.577,7.029
Historical,Brest,1927,5.465,8.927,7.293,6.763
Historical,Brest,1928,4.724,9.537,7.190,6.747
Historical,Brest,1929,5.068,9.212,7.051,6.283
Historical,Brest,1930,5.940,9.588,8.208,7.278
Historical,Brest,1931,6.171,8.961,7.615,7.034
Historical,Brest,1932,4.484,9.644,7.173,5.752
Historical,Brest,1933,5.679,9.667,7.634,7.177
Historical,Brest,1934,5.855,8.926,7.075,7.023
Historical,Brest,1935,5.270,9.225,7.413,6.918
Historical,Brest,1936,5.194,9.791,7.849,7.462
Historical,Brest,1937,5.155,9.303,7.351,7.109
Historical,Brest,1938,4.653,9.110,7.301,6.643
Historical,Brest,1939,5.393,9.104,7.424,6.654
Historical,Brest,1940,5.447,9.095,7.130,6.497
Historical,Brest,1941,5.768,9.051,7.531,7.316
Historical,Brest,1942,5.207,8.913,6.951,5.695
Historical,Brest,1943,6.311,9.169,7.771,7.214
Historical,Brest,1944,5.726,9.146,7.231,6.327
Historical,Brest,1945,4.848,8.311,6.562,5.957
Historical,Brest,1946,5.897,9.234,7.330,7.623
Historical,Brest,1947,5.440,8.811,6.778,6.484
Historical,Brest,1948,5.532,9.166,7.403,7.426
Historical,Brest,1949,5.094,9.058,7.377,7.218
Historical,Brest,1950,5.346,9.141,7.173,6.775
Historical,Brest,1951,5.997,8.778,6.815,7.309
Historical,Brest,1952,5.568,9.080,6.899,6.732
Historical,Brest,1953,4.689,8.425,7.235,6.601
Historical,Brest,1954,4.731,8.904,6.751,6.182
Historical,Brest,1955,5.320,8.846,7.088,6.991
Historical,Brest,1956,4.935,9.618,6.982,6.258
Historical,Brest,1957,6.080,9.230,7.244,7.144
Historical,Brest,1958,5.472,9.087,7.759,7.887
Historical,Brest,1959,5.438,9.624,7.116,6.463
Historical,Brest,1960,5.387,8.988,7.572,7.074
Historical,Brest,1961,5.442,8.819,6.614,6.891
Historical,Brest,1962,5.746,8.816,7.286,7.528
Historical,Brest,1963,5.110,8.801,7.397,6.898
Historical,Brest,1964,4.841,8.996,6.767,6.485
Historical,Brest,1965,5.028,8.527,7.040,6.957
Historical,Brest,1966,4.974,9.259,6.647,6.461
Historical,Brest,1967,5.249,8.947,6.780,7.385
Historical,Brest,1968,5.036,8.983,6.828,6.640
Historical,Brest,1969,5.097,9.177,7.176,7.344
Historical,Brest,1970,5.553,8.571,7.316,6.950
Historical,Brest,1971,5.644,8.832,7.622,6.757
Historical,Brest,1972,4.314,8.822,7.405,6.406
Historical,Brest,1973,5.321,9.001,6.742,6.245
Historical,Brest,1974,4.917,9.015,7.242,7.343
Historical,Brest,1975,4.931,8.569,6.869,6.606
Historical,Brest,1976,5.196,8.757,7.150,6.656
Historical,Brest,1977,3.891,8.581,7.122,6.095
Historical,Brest,1978,5.555,9.720,7.749,7.678
Historical,Brest,1979,5.060,9.324,7.216,6.740
Historical,Brest,1980,5.519,7.919,7.189,6.632
Historical,Brest,1981,4.901,9.452,7.552,6.887
Historical,Brest,1982,6.218,8.482,7.274,7.362
Historical,Brest,1983,5.050,9.314,6.872,6.186
Historical,Brest,1984,5.677,8.731,7.569,7.191
Historical,Brest,1985,5.481,8.800,6.916,6.795
Historical,Brest,1986,5.552,9.607,7.484,7.181
Historical,Brest,1987,5.175,9.389,7.474,6.573
Historical,Brest,1988,5.942,9.091,7.808,7.181
Historical,Brest,1989,6.591,10.379,7.997,7.510
Historical,Brest,1990,4.498,9.367,7.397,7.133
Historical,Brest,1991,5.383,9.044,7.346,7.598
Historical,Brest,1992,5.416,8.679,7.099,6.041
Historical,Brest,1993,6.268,9.415,7.457,6.937
