experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,3.005,8.969,6.614,6.276
Historical,Brest,1901,3.296,9.287,5.272,6.411
Historical,Brest,1902,3.499,9.128,6.907,6.729
Historical,Brest,1903,2.487,8.456,5.923,6.138
Historical,Brest,1904,4.213,8.978,6.614,6.680
Historical,Brest,1905,3.648,9.165,5.833,6.231
Historical,Brest,1906,2.359,9.662,6.232,6.155
Historical,Brest,1907,3.906,8.635,6.511,6.832
Historical,Brest,1908,4.286,8.431,6.120,6.088
Historical,Brest,1909,3.620,8.071,6.192,6.709
Historical,Brest,1910,3.867,7.952,6.673,6.739
Historical,Brest,1911,3.352,8.984,6.024,5.879
Historical,Brest,1912,4.429,9.264,6.400,7.152
Historical,Brest,1913,3.212,8.571,6.058,6.675
Historical,Brest,1914,3.839,9.390,6.700,6.164
Historical,Brest,1915,4.436,8.733,6.660,6.475
Historical,Brest,1916,4.309,9.347,6.816,6.790
Historical,Brest,1917,3.968,8.418,6.500,6.589
Historical,Brest,1918,3.107,8.136,5.856,6.269
Historical,Brest,1919,3.563,8.898,6.931,6.715
Historical,Brest,1920,4.436,9.345,6.457,6.766
Historical,Brest,1921,4.371,8.803,6.042,6.669
Historical,Brest,1922,3.739,8.998,6.379,7.384
Historical,Brest,1923,4.163,9.408,6.226,6.298
Historical,Brest,1924,4.680,9.299,6.053,6.647
Historical,Brest,1925,4.612,8.456,7.151,7.319
Historical,Brest,1926,4.479,9.177,6.619,6.898
Historical,Brest,1927,3.246,9.657,6.263,7.401
Historical,Brest,1928,3.409,9.856,6.132,6.653
Historical,Brest,1929,2.394,9.162,6.290,6.660
Historical,Brest,1930,3.390,9.116,5.911,6.986
Historical,Brest,1931,3.897,8.227,6.106,6.272
Historical,Brest,1932,4.936,9.112,6.838,6.782
Historical,Brest,1933,1.998,8.227,5.703,5.567
Historical,Brest,1934,3.210,8.990,6.653,6.043
Historical,Brest,1935,3.921,8.727,5.798,6.298
