experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,16.005,20.806,17.655,16.645
Historical,Brest,1901,16.977,21.708,18.601,17.900
Historical,Brest,1902,15.807,20.618,18.263,17.711
Historical,Brest,1903,15.549,20.575,17.421,16.538
Historical,Brest,1904,15.885,20.447,17.466,17.303
Historical,Brest,1905,16.112,21.074,18.161,17.249
Historical,Brest,1906,16.336,20.847,18.391,17.483
Historical,Brest,1907,16.011,21.149,18.339,17.160
Historical,Brest,1908,15.988,21.207,17.714,17.248
Historical,Brest,1909,16.259,20.866,17.956,17.111
Historical,Brest,1910,16.225,21.234,18.202,16.845
Historical,Brest,1911,16.520,20.176,18.560,17.227
Historical,Brest,1912,15.090,20.824,17.885,16.490
Historical,Brest,1913,16.255,20.289,17.654,16.492
Historical,Brest,1914,16.056,20.578,18.127,17.388
Historical,Brest,1915,16.185,21.183,17.659,17.557
Historical,Brest,1916,15.892,20.287,18.028,17.050
Historical,Brest,1917,15.478,20.410,17.938,16.534
Historical,Brest,1918,16.125,20.635,18.110,16.764
Historical,Brest,1919,16.163,20.871,18.352,17.700
Historical,Brest,1920,16.256,20.860,18.224,17.803
Historical,Brest,1921,16.140,20.718,18.130,17.484
Historical,Brest,1922,16.070,21.075,17.656,17.207
Historical,Brest,1923,16.279,20.543,18.163,17.087
Historical,Brest,1924,16.700,20.978,18.317,17.785
Historical,Brest,1925,16.449,20.873,18.690,18.144
Historical,Brest,1926,15.950,20.949,18.234,17.638
Historical,Brest,1927,16.029,21.532,18.113,17.529
Historical,Brest,1928,16.005,21.193,18.478,17.141
Historical,Brest,1929,15.961,20.694,17.948,17.121
Historical,Brest,1930,16.202,20.648,17.872,17.556
Historical,Brest,1931,16.433,20.628,18.412,17.643
Historical,Brest,1932,15.996,21.307,17.914,17.132
Historical,Brest,1933,15.007,22.074,18.353,17.528
Historical,Brest,1934,15.478,21.067,17.853,17.277
Historical,Brest,1935,15.908,21.506,18.083,17.059
Historical,Brest,1936,16.553,21.069,18.481,17.009
Historical,Brest,1937,16.305,20.977,17.770,17.155
Historical,Brest,1938,16.265,21.316,18.053,17.318
Historical,Brest,1939,16.232,20.529,18.448,17.379
Historical,Brest,1940,16.336,21.463,18.214,17.542
Historical,Brest,1941,15.855,21.756,18.932,17.879
Historical,Brest,1942,16.014,20.289,18.826,17.144
Historical,Brest,1943,15.748,21.005,17.993,17.303
Historical,Brest,1944,16.639,21.129,18.366,17.356
Historical,Brest,1945,15.792,19.776,18.009,17.325
Historical,Brest,1946,16.209,21.160,18.030,17.166
Historical,Brest,1947,16.365,20.166,18.173,17.269
Historical,Brest,1948,16.196,21.409,17.751,17.018
Historical,Brest,1949,16.258,20.414,18.056,17.648
Historical,Brest,1950,16.005,21.383,18.207,16.979
Historical,Brest,1951,16.379,21.189,18.231,17.797
Historical,Brest,1952,16.141,21.295,17.784,17.322
Historical,Brest,1953,16.332,21.452,17.904,17.371
Historical,Brest,1954,15.906,20.990,18.390,17.219
Historical,Brest,1955,15.598,20.923,18.535,17.058
Historical,Brest,1956,15.674,22.096,18.631,17.131
Historical,Brest,1957,15.973,21.157,18.254,16.702
Historical,Brest,1958,16.181,21.025,18.030,17.005
Historical,Brest,1959,16.101,21.146,18.082,17.426
Historical,Brest,1960,16.301,20.627,18.070,17.067
Historical,Brest,1961,15.440,21.298,18.308,16.770
Historical,Brest,1962,15.366,20.900,17.690,16.340
Historical,Brest,1963,15.111,21.001,18.499,17.356
Historical,Brest,1964,15.394,20.803,18.112,16.987
Historical,Brest,1965,15.247,20.471,17.883,17.068
Historical,Brest,1966,15.114,20.714,17.896,16.831
Historical,Brest,1967,15.600,20.815,18.314,17.255
Historical,Brest,1968,16.509,20.148,18.105,17.198
Historical,Brest,1969,15.615,20.778,17.730,16.670
Historical,Brest,1970,15.358,21.208,17.479,16.715
Historical,Brest,1971,15.617,20.820,17.966,17.023
Historical,Brest,1972,15.623,21.304,18.102,17.268
Historical,Brest,1973,15.611,20.518,17.737,17.309
Historical,Brest,1974,16.084,20.975,18.038,17.365
Historical,Brest,1975,15.507,20.977,18.188,16.647
Historical,Brest,1976,15.650,21.167,17.491,16.079
Historical,Brest,1977,16.035,19.909,17.280,16.607
Historical,Brest,1978,16.036,20.468,18.002,16.601
Historical,Brest,1979,15.938,20.795,18.123,16.972
Historical,Brest,1980,15.932,20.091,17.798,17.121
Historical,Brest,1981,15.928,21.045,17.793,16.519
Historical,Brest,1982,15.482,20.921,17.875,16.435
Historical,Brest,1983,15.721,19.859,17.539,16.537
Historical,Brest,1984,15.238,20.293,17.936,16.602
Historical,Brest,1985,16.564,20.665,18.342,17.384
Historical,Brest,1986,15.944,21.065,17.833,16.757
Historical,Brest,1987,15.844,21.152,18.205,16.777
Historical,Brest,1988,15.574,21.857,17.959,16.632
Historical,Brest,1989,16.301,20.823,18.300,17.527
Historical,Brest,1990,16.399,21.671,18.160,17.214
Historical,Brest,1991,16.780,21.943,18.144,17.572
Historical,Brest,1992,15.931,20.504,18.015,17.003
Historical,Brest,1993,15.299,20.454,18.405,16.459
Historical,Brest,1994,17.045,20.504,18.526,17.900
Historical,Brest,1995,16.733,20.518,18.843,17.231
Historical,Brest,1996,16.314,21.858,18.391,17.380
Historical,Brest,1997,16.399,21.458,19.294,18.344
Historical,Brest,1998,16.530,21.191,18.884,18.262
Historical,Brest,1999,16.324,21.439,19.117,17.676
Historical,Brest,2000,16.519,21.531,19.255,18.016
Historical,Brest,2001,16.703,21.329,19.503,18.585
Historical,Brest,2002,16.539,21.417,19.157,18.110
