experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,14.204,18.342,15.520,14.965
Historical,Brest,1901,14.764,19.036,16.055,15.882
Historical,Brest,1902,14.021,18.135,16.441,15.649
Historical,Brest,1903,13.642,18.281,15.465,14.791
Historical,Brest,1904,13.702,18.216,15.745,15.379
Historical,Brest,1905,14.495,18.275,16.039,15.413
Historical,Brest,1906,14.360,18.300,16.193,15.529
Historical,Brest,1907,13.898,17.802,16.522,15.430
Historical,Brest,1908,14.245,18.310,15.756,15.883
Historical,Brest,1909,14.547,18.326,16.056,15.186
Historical,Brest,1910,14.191,18.420,15.956,15.124
Historical,Brest,1911,14.095,17.957,16.373,15.134
Historical,Brest,1912,14.004,18.355,15.791,14.575
Historical,Brest,1913,14.227,17.749,15.691,14.779
Historical,Brest,1914,14.581,17.992,15.988,15.163
Historical,Brest,1915,14.281,18.665,15.998,15.250
Historical,Brest,1916,13.949,17.617,16.050,15.428
Historical,Brest,1917,14.468,17.951,15.684,15.092
Historical,Brest,1918,14.790,17.820,16.029,15.431
Historical,Brest,1919,14.685,18.024,16.198,15.410
Historical,Brest,1920,14.096,17.952,15.958,15.325
Historical,Brest,1921,14.557,18.081,16.165,15.949
Historical,Brest,1922,14.075,18.182,15.829,15.587
Historical,Brest,1923,14.632,18.117,16.226,15.362
Historical,Brest,1924,14.686,17.872,16.384,15.622
Historical,Brest,1925,14.315,18.411,16.661,16.283
Historical,Brest,1926,13.877,18.837,16.156,15.935
Historical,Brest,1927,14.589,19.087,16.175,15.581
Historical,Brest,1928,14.302,18.902,16.127,14.939
Historical,Brest,1929,14.147,18.642,15.831,15.360
Historical,Brest,1930,14.702,18.374,16.394,15.921
Historical,Brest,1931,14.681,17.799,16.322,15.486
Historical,Brest,1932,14.294,19.117,16.032,15.433
Historical,Brest,1933,13.907,19.183,16.172,15.805
Historical,Brest,1934,14.216,19.198,15.930,15.659
Historical,Brest,1935,14.328,18.373,16.171,15.603
Historical,Brest,1936,14.537,18.370,16.399,15.517
Historical,Brest,1937,14.695,18.655,15.933,15.031
Historical,Brest,1938,14.770,19.198,16.530,15.631
Historical,Brest,1939,14.676,17.694,16.401,15.519
Historical,Brest,1940,14.906,18.644,16.165,15.829
Historical,Brest,1941,14.095,18.583,16.761,15.646
Historical,Brest,1942,14.051,17.470,16.483,15.330
Historical,Brest,1943,13.817,18.523,16.319,15.661
Historical,Brest,1944,14.957,18.012,16.302,15.572
Historical,Brest,1945,14.382,17.155,16.468,15.436
Historical,Brest,1946,14.688,18.017,16.208,15.440
Historical,Brest,1947,14.596,18.242,16.276,15.586
Historical,Brest,1948,14.560,18.098,15.883,15.489
Historical,Brest,1949,14.327,17.807,16.220,15.332
Historical,Brest,1950,14.364,19.029,15.871,15.358
Historical,Brest,1951,14.045,18.585,16.047,15.790
Historical,Brest,1952,14.194,18.643,16.023,15.403
Historical,Brest,1953,14.120,18.906,15.744,15.550
Historical,Brest,1954,13.302,17.677,16.269,15.191
Historical,Brest,1955,13.501,18.270,16.557,15.364
Historical,Brest,1956,14.600,19.534,16.502,15.133
Historical,Brest,1957,14.271,17.730,16.523,15.080
Historical,Brest,1958,14.350,17.717,16.101,14.975
Historical,Brest,1959,14.803,17.861,15.819,15.148
Historical,Brest,1960,14.197,18.017,15.768,15.022
Historical,Brest,1961,14.011,18.409,16.135,15.255
Historical,Brest,1962,13.775,18.012,15.892,14.637
Historical,Brest,1963,13.586,18.156,16.470,15.549
Historical,Brest,1964,13.398,17.860,15.654,14.934
Historical,Brest,1965,13.546,18.129,16.106,15.487
Historical,Brest,1966,13.824,17.690,15.726,15.005
Historical,Brest,1967,14.457,18.153,15.956,15.606
Historical,Brest,1968,14.401,17.950,15.950,15.000
Historical,Brest,1969,13.483,18.231,15.761,14.998
Historical,Brest,1970,13.163,18.186,15.781,14.673
Historical,Brest,1971,14.246,18.025,15.799,15.473
Historical,Brest,1972,13.855,18.660,15.888,15.802
Historical,Brest,1973,14.093,17.898,16.046,15.401
Historical,Brest,1974,14.550,18.076,16.348,15.496
Historical,Brest,1975,13.839,17.529,16.115,15.150
Historical,Brest,1976,13.715,18.398,15.629,15.079
Historical,Brest,1977,14.205,17.242,15.776,14.742
Historical,Brest,1978,14.191,18.255,16.244,15.560
Historical,Brest,1979,14.032,18.220,16.478,15.291
Historical,Brest,1980,14.264,17.846,15.884,15.087
Historical,Brest,1981,13.700,18.060,16.179,15.491
Historical,Brest,1982,13.727,17.663,16.029,15.265
Historical,Brest,1983,14.298,17.664,16.005,14.966
Historical,Brest,1984,13.446,17.934,16.114,15.194
Historical,Brest,1985,14.608,17.775,16.060,15.493
Historical,Brest,1986,13.810,18.320,16.379,15.327
Historical,Brest,1987,13.584,18.393,16.565,15.479
Historical,Brest,1988,14.691,18.962,15.829,15.581
Historical,Brest,1989,14.457,18.788,16.317,15.943
Historical,Brest,1990,14.870,18.185,16.093,15.765
Historical,Brest,1991,14.454,18.874,16.172,15.621
Historical,Brest,1992,14.038,18.280,15.920,15.417
Historical,Brest,1993,14.036,17.725,16.401,14.870
Historical,Brest,1994,14.684,18.156,16.668,16.138
Historical,Brest,1995,14.427,18.445,16.780,15.676
Historical,Brest,1996,14.557,19.373,16.629,15.646
Historical,Brest,1997,15.169,18.507,17.148,16.452
Historical,Brest,1998,14.671,18.573,16.926,16.331
Historical,Brest,1999,15.076,18.592,16.863,15.518
Historical,Brest,2000,14.792,19.311,16.956,16.177
Historical,Brest,2001,14.980,19.049,17.221,16.499
Historical,Brest,2002,14.953,19.824,17.103,16.744
Historical,Brest,2003,15.008,19.426,17.735,17.060
Historical,Brest,2004,15.267,19.614,17.419,16.400
Historical,Brest,2005,15.640,20.127,17.630,17.009
Historical,Brest,2006,15.091,20.226,17.626,16.891
Historical,Brest,2007,15.194,19.213,17.071,16.615
Historical,Brest,2008,15.190,19.926,17.172,16.294
Historical,Brest,2009,15.211,20.373,17.698,16.739
Historical,Brest,2010,15.883,19.503,18.059,17.076
Historical,Brest,2011,15.565,20.185,17.405,16.964
Historical,Brest,2012,15.734,19.501,17.387,16.997
Historical,Brest,2013,15.805,18.921,17.252,16.831
Historical,Brest,2014,15.871,20.198,18.366,17.122
Historical,Gomel,1900,14.577,18.633,15.950,15.555
Historical,Gomel,1901,15.438,19.184,16.443,16.080
Historical,Gomel,1902,14.451,18.328,16.853,15.868
Historical,Gomel,1903,13.949,18.665,15.663,15.294
Historical,Gomel,1904,13.973,18.447,16.125,16.056
Historical,Gomel,1905,14.607,18.828,16.463,16.040
Historical,Gomel,1906,14.724,18.733,16.834,15.820
Historical,Gomel,1907,14.199,17.762,16.650,15.864
Historical,Gomel,1908,14.351,18.639,16.170,15.996
Historical,Gomel,1909,14.666,18.601,16.365,15.814
Historical,Gomel,1910,14.909,18.662,16.778,15.647
Historical,Gomel,1911,14.526,18.344,16.739,15.535
Historical,Gomel,1912,14.476,18.396,16.179,14.794
Historical,Gomel,1913,14.376,18.421,16.052,15.401
Historical,Gomel,1914,14.637,18.632,16.226,15.409
Historical,Gomel,1915,14.673,18.731,16.570,15.827
Historical,Gomel,1916,14.263,18.618,16.191,15.887
Historical,Gomel,1917,14.722,18.466,16.080,15.657
Historical,Gomel,1918,14.732,18.693,16.573,15.872
Historical,Gomel,1919,15.045,18.586,16.685,15.684
Historical,Gomel,1920,14.325,18.076,16.807,15.913
Historical,Gomel,1921,14.720,18.834,16.688,16.471
Historical,Gomel,1922,14.062,18.544,16.166,16.284
Historical,Gomel,1923,14.855,18.678,16.763,15.840
Historical,Gomel,1924,15.054,18.552,16.505,16.128
Historical,Gomel,1925,14.293,19.104,17.038,16.746
Historical,Gomel,1926,13.788,19.203,16.857,16.113
Historical,Gomel,1927,15.034,19.770,16.579,16.419
Historical,Gomel,1928,14.473,19.320,16.713,15.819
Historical,Gomel,1929,14.833,18.863,16.204,16.025
