experiment,region,year,tas_10,tas_90,tas_50,tas_corr
Historical,Brest,1900,-10.954,-1.008,-3.893,-5.311
Historical,Brest,1901,-7.743,-0.093,-5.124,-4.251
Historical,Brest,1902,-8.370,-1.491,-5.287,-5.352
Historical,Brest,1903,-8.664,-0.933,-5.617,-5.141
Historical,Brest,1904,-8.698,-0.474,-6.354,-5.878
Historical,Brest,1905,-10.749,-1.354,-5.021,-4.806
Historical,Brest,1906,-9.165,-0.591,-4.869,-3.859
Historical,Brest,1907,-7.777,-2.124,-4.395,-5.405
Historical,Brest,1908,-10.820,-1.137,-6.028,-5.603
Historical,Brest,1909,-9.085,-0.472,-4.205,-4.948
Historical,Brest,1910,-9.220,0.243,-4.467,-5.479
Historical,Brest,1911,-8.123,-0.729,-3.976,-3.668
Historical,Brest,1912,-8.765,-0.548,-5.387,-3.938
Historical,Brest,1913,-9.852,-1.556,-5.068,-3.616
Historical,Brest,1914,-9.405,-1.048,-4.366,-3.985
Historical,Brest,1915,-8.841,-0.726,-3.822,-4.033
Historical,Brest,1916,-9.774,-0.766,-3.698,-3.580
Historical,Brest,1917,-8.929,-2.206,-5.210,-5.122
Historical,Brest,1918,-9.617,0.147,-4.441,-3.607
Historical,Brest,1919,-7.642,-1.910,-4.653,-5.294
Historical,Brest,1920,-9.055,-2.211,-4.720,-4.311
Historical,Brest,1921,-8.230,0.960,-3.821,-2.924
Historical,Brest,1922,-9.048,-1.289,-4.114,-5.743
Historical,Brest,1923,-10.331,-0.926,-4.471,-5.189
Historical,Brest,1924,-7.147,-0.514,-4.103,-2.573
Historical,Brest,1925,-8.020,-0.649,-3.783,-3.438
Historical,Brest,1926,-7.904,0.445,-2.768,-3.478
Historical,Brest,1927,-7.230,0.276,-3.314,-3.299
Historical,Brest,1928,-8.496,-1.248,-4.087,-3.651
Historical,Brest,1929,-8.438,0.207,-5.230,-5.558
Historical,Brest,1930,-10.666,-1.040,-4.798,-4.553
Historical,Brest,1931,-8.074,0.753,-4.644,-4.523
Historical,Brest,1932,-8.995,-1.185,-4.496,-3.464
Historical,Brest,1933,-8.859,-0.605,-4.548,-6.558
Historical,Brest,1934,-8.002,-1.000,-3.755,-3.771
Historical,Brest,1935,-7.761,-2.117,-4.125,-3.855
Historical,Brest,1936,-6.179,0.662,-3.398,-2.665
Historical,Brest,1937,-7.637,-1.129,-3.692,-3.136
Historical,Brest,1938,-9.594,-1.859,-4.178,-3.795
Historical,Brest,1939,-8.639,-0.700,-3.931,-4.789
Historical,Brest,1940,-9.078,-0.478,-3.506,-2.386
Historical,Brest,1941,-8.103,-0.281,-4.022,-4.064
Historical,Brest,1942,-9.542,-0.397,-4.690,-4.692
Historical,Brest,1943,-9.650,-1.009,-4.126,-2.938
Historical,Brest,1944,-8.254,-1.163,-4.229,-3.448
Historical,Brest,1945,-8.084,-0.074,-3.671,-3.840
Historical,Brest,1946,-8.742,-0.325,-4.692,-3.445
Historical,Brest,1947,-9.793,0.183,-4.527,-4.747
Historical,Brest,1948,-9.357,-0.527,-3.848,-4.158
Historical,Brest,1949,-8.338,-0.842,-4.050,-3.670
Historical,Brest,1950,-8.229,-0.418,-4.994,-4.359
Historical,Brest,1951,-9.600,-1.164,-4.122,-4.962
Historical,Brest,1952,-8.752,-0.184,-4.222,-3.003
Historical,Brest,1953,-7.743,-0.589,-5.304,-3.479
Historical,Brest,1954,-9.826,-0.146,-4.861,-3.815
Historical,Brest,1955,-7.341,-0.043,-4.526,-4.063
Historical,Brest,1956,-10.108,-1.848,-5.141,-4.558
Historical,Brest,1957,-8.296,-0.492,-5.002,-3.257
Historical,Brest,1958,-8.136,-0.123,-4.637,-4.064
Historical,Brest,1959,-10.004,-0.826,-3.684,-4.486
Historical,Brest,1960,-6.773,-0.102,-3.864,-3.730
Historical,Brest,1961,-7.947,-1.269,-4.227,-3.834
Historical,Brest,1962,-8.030,0.081,-3.737,-4.197
Historical,Brest,1963,-10.016,0.669,-4.084,-4.305
Historical,Brest,1964,-6.798,-0.849,-3.959,-4.000
Historical,Brest,1965,-8.875,0.663,-3.719,-2.822
Historical,Brest,1966,-7.870,0.021,-4.785,-5.072
Historical,Brest,1967,-9.177,-1.023,-4.817,-3.582
Historical,Brest,1968,-9.015,-1.248,-3.920,-3.390
Historical,Brest,1969,-7.893,-1.199,-5.141,-5.122
Historical,Brest,1970,-8.602,-0.728,-4.605,-5.017
Historical,Brest,1971,-8.382,0.191,-4.323,-3.932
Historical,Brest,1972,-7.914,-1.136,-4.452,-4.396
Historical,Brest,1973,-7.333,-0.199,-3.899,-3.825
Historical,Brest,1974,-10.226,-0.940,-4.454,-3.237
Historical,Brest,1975,-10.411,-0.298,-3.847,-6.197
Historical,Brest,1976,-7.890,-0.960,-4.878,-4.454
Historical,Brest,1977,-8.980,-0.427,-4.310,-4.155
Historical,Brest,1978,-7.492,-0.359,-3.999,-5.029
Historical,Brest,1979,-7.948,-0.199,-4.604,-4.836
Historical,Brest,1980,-9.024,-0.291,-3.944,-3.594
Historical,Brest,1981,-7.841,-1.383,-4.433,-5.119
Historical,Brest,1982,-8.359,-0.531,-4.752,-2.400
Historical,Brest,1983,-10.038,-1.997,-4.412,-5.583
Historical,Brest,1984,-7.868,-0.040,-2.599,-2.591
Historical,Brest,1985,-6.047,-0.325,-4.004,-4.030
Historical,Brest,1986,-7.468,-0.684,-4.915,-5.611
Historical,Brest,1987,-9.428,-0.679,-3.311,-3.452
Historical,Brest,1988,-7.532,-0.361,-3.311,-3.733
Historical,Brest,1989,-6.448,0.730,-2.529,-2.832
Historical,Brest,1990,-8.713,0.054,-3.805,-3.694
Historical,Brest,1991,-7.914,-0.342,-3.452,-2.818
Historical,Brest,1992,-9.098,-0.320,-4.173,-4.243
Historical,Brest,1993,-8.042,0.379,-3.000,-2.871
Historical,Brest,1994,-7.628,0.948,-3.430,-2.010
Historical,Brest,1995,-6.663,-0.670,-3.658,-2.810
Historical,Brest,1996,-7.482,0.180,-3.988,-3.351
Historical,Brest,1997,-9.881,0.417,-5.102,-2.661
Historical,Brest,1998,-8.345,0.410,-2.772,-3.701
Historical,Brest,1999,-7.221,0.901,-3.261,-2.007
Historical,Brest,2000,-8.235,1.109,-1.944,-1.779
Historical,Brest,2001,-8.504,1.558,-1.546,-1.997
Historical,Brest,2002,-5.270,0.765,-2.741,-2.802
Historical,Brest,2003,-8.777,-0.123,-3.325,-3.831
Historical,Brest,2004,-6.661,1.638,-2.595,-2.232
Historical,Brest,2005,-6.023,0.968,-2.075,-1.029
Historical,Brest,2006,-7.325,-0.186,-3.181,-2.630
Historical,Brest,2007,-6.131,1.232,-1.566,-0.229
Historical,Brest,2008,-7.253,0.710,-2.284,-2.415
Historical,Brest,2009,-6.599,1.584,-1.772,-3.227
Historical,Brest,2010,-9.096,0.839,-2.082,-4.321
Historical,Brest,2011,-6.047,0.820,-3.239,-3.236
Historical,Brest,2012,-7.100,0.522,-2.203,-1.475
Historical,Brest,2013,-6.257,0.893,-3.095,-1.974
Historical,Gomel,1900,-11.946,-1.794,-5.072,-6.247
Historical,Gomel,1901,-9.735,-1.576,-6.245,-5.108
Historical,Gomel,1902,-10.343,-2.635,-6.464,-6.582
Historical,Gomel,1903,-10.729,-2.160,-6.527,-6.233
Historical,Gomel,1904,-10.787,-1.484,-7.945,-7.421
Historical,Gomel,1905,-12.061,-2.656,-6.557,-5.435
Historical,Gomel,1906,-10.529,-1.848,-6.138,-5.210
Historical,Gomel,1907,-8.791,-3.212,-5.926,-5.970
Historical,Gomel,1908,-12.742,-2.220,-7.547,-6.775
Historical,Gomel,1909,-10.148,-2.709,-5.360,-6.410
Historical,Gomel,1910,-10.386,-1.381,-6.009,-6.812
Historical,Gomel,1911,-10.184,-1.728,-5.330,-4.589
Historical,Gomel,1912,-9.783,-1.083,-6.628,-4.864
Historical,Gomel,1913,-11.027,-2.903,-6.608,-5.299
Historical,Gomel,1914,-11.150,-1.913,-6.025,-4.977
Historical,Gomel,1915,-10.743,-1.335,-5.341,-4.877
Historical,Gomel,1916,-11.098,-2.060,-5.511,-4.961
Historical,Gomel,1917,-9.955,-3.659,-7.092,-5.850
Historical,Gomel,1918,-10.982,-1.542,-6.203,-4.625
Historical,Gomel,1919,-9.410,-2.800,-6.156,-6.695
Historical,Gomel,1920,-10.469,-3.188,-5.473,-5.463
Historical,Gomel,1921,-9.566,0.117,-4.667,-4.161
Historical,Gomel,1922,-10.461,-2.286,-5.772,-6.687
Historical,Gomel,1923,-11.951,-2.589,-5.486,-6.264
Historical,Gomel,1924,-9.006,-1.365,-5.208,-3.841
Historical,Gomel,1925,-9.461,-1.548,-5.025,-3.794
Historical,Gomel,1926,-9.664,-0.799,-3.719,-4.428
Historical,Gomel,1927,-8.776,-0.803,-4.568,-4.814
Historical,Gomel,1928,-9.863,-1.999,-5.313,-5.126
Historical,Gomel,1929,-10.499,-1.028,-6.802,-6.193
Historical,Gomel,1930,-11.252,-1.963,-6.299,-5.703
Historical,Gomel,1931,-9.002,-0.566,-6.563,-4.940
Historical,Gomel,1932,-10.437,-2.224,-6.419,-4.981
Historical,Gomel,1933,-10.951,-2.002,-5.755,-7.615
Historical,Gomel,1934,-10.361,-2.649,-5.316,-4.658
Historical,Gomel,1935,-9.053,-3.071,-6.012,-5.042
Historical,Gomel,1936,-7.537,-0.762,-4.773,-3.092
Historical,Gomel,1937,-8.576,-2.404,-5.392,-4.197
Historical,Gomel,1938,-10.312,-3.245,-6.026,-5.131
Historical,Gomel,1939,-9.582,-2.040,-4.756,-5.151
Historical,Gomel,1940,-11.006,-1.840,-5.011,-3.209
Historical,Gomel,1941,-9.916,-1.495,-5.603,-5.367
Historical,Gomel,1942,-10.766,-1.259,-5.538,-5.251
Historical,Gomel,1943,-10.244,-2.169,-5.730,-4.126
Historical,Gomel,1944,-10.066,-2.065,-5.592,-4.213
Historical,Gomel,1945,-10.289,-1.193,-5.295,-5.149
Historical,Gomel,1946,-10.129,-1.489,-6.618,-4.431
Historical,Gomel,1947,-11.363,-0.635,-4.856,-5.235
Historical,Gomel,1948,-10.811,-1.708,-5.611,-4.884
Historical,Gomel,1949,-9.322,-1.316,-5.996,-4.422
Historical,Gomel,1950,-10.019,-1.617,-6.243,-5.648
Historical,Gomel,1951,-10.950,-2.646,-5.594,-5.537
Historical,Gomel,1952,-10.230,-1.020,-5.624,-3.978
Historical,Gomel,1953,-9.853,-1.852,-6.927,-4.448
Historical,Gomel,1954,-10.700,-1.409,-6.493,-5.016
Historical,Gomel,1955,-9.747,-1.412,-5.514,-5.153
Historical,Gomel,1956,-11.815,-2.806,-6.466,-5.391
Historical,Gomel,1957,-9.678,-1.300,-6.433,-4.214
Historical,Gomel,1958,-9.492,-1.658,-5.967,-5.051
Historical,Gomel,1959,-10.410,-2.240,-5.035,-5.567
Historical,Gomel,1960,-8.548,-1.394,-4.579,-4.623
Historical,Gomel,1961,-9.053,-2.297,-4.984,-4.586
Historical,Gomel,1962,-10.088,-0.906,-5.262,-5.308
Historical,Gomel,1963,-11.793,-1.064,-5.694,-5.361
Historical,Gomel,1964,-7.936,-1.958,-4.927,-4.890
Historical,Gomel,1965,-9.908,-0.511,-4.969,-3.691
Historical,Gomel,1966,-9.067,-1.759,-5.350,-5.792
Historical,Gomel,1967,-10.978,-2.472,-5.971,-4.988
Historical,Gomel,1968,-10.491,-1.449,-5.071,-4.427
Historical,Gomel,1969,-9.818,-2.209,-6.913,-6.611
Historical,Gomel,1970,-10.394,-1.672,-6.036,-5.757
Historical,Gomel,1971,-9.933,-1.068,-5.515,-5.381
Historical,Gomel,1972,-9.743,-2.442,-5.596,-6.119
Historical,Gomel,1973,-8.834,-0.986,-5.429,-5.010
Historical,Gomel,1974,-10.772,-2.005,-5.799,-4.502
Historical,Gomel,1975,-11.217,-0.895,-5.617,-7.421
Historical,Gomel,1976,-9.407,-2.055,-6.089,-5.510
Historical,Gomel,1977,-10.047,-1.081,-5.620,-4.464
Historical,Gomel,1978,-9.566,-1.901,-5.175,-5.890
Historical,Gomel,1979,-9.244,-1.145,-6.245,-5.787
Historical,Gomel,1980,-10.986,-1.356,-5.289,-4.699
Historical,Gomel,1981,-9.510,-3.040,-6.146,-5.562
